,question,answer,context,answer_start,title
10,Kết quả có đạt không?,không đạt,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",128,oneKPI
11,Tỷ lệ hài lòng của KH tháng 6 năm 2023 là bao nhiêu?,96.6%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",167,oneKPI
12,Mục tiêu là bao nhiêu?,96.7%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",207,oneKPI
13,So với tháng 6 năm 2022 tăng hay giảm?,Gấp 1.16 lần,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",251,oneKPI
14,So với tháng trước thì sao?,Tăng 8.4%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",214,oneKPI
15,chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát từ nửa đầu năm 2022 là bao nhiêu?,81.4%,"Dựa trên thông tin về dữ liệu báo cáo tại 2022, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của đơn vị VTPOST có kết quả là không đạt với con số nhận được là 81.4%, chênh lệch 15.8% khi so sánh với mục tiêu kpi đề ra là 97.2%, chỉ bằng 0.98 lần so với kpi nhận được tại năm 2021",172,oneKPI
16,KPI là bao nhiêu?,97.2%,"Dựa trên thông tin về dữ liệu báo cáo tại 2022, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của đơn vị VTPOST có kết quả là không đạt với con số nhận được là 81.4%, chênh lệch 15.8% khi so sánh với mục tiêu kpi đề ra là 97.2%, chỉ bằng 0.98 lần so với kpi nhận được tại năm 2021",234,oneKPI
17,so với cùng kỳ năm ngoái thế nào?,0.98 lần,"Dựa trên thông tin về dữ liệu báo cáo tại 2022, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của đơn vị VTPOST có kết quả là không đạt với con số nhận được là 81.4%, chênh lệch 15.8% khi so sánh với mục tiêu kpi đề ra là 97.2%, chỉ bằng 0.98 lần so với kpi nhận được tại năm 2021",250,oneKPI
18,Kết quả thực tế so với KPI thế nào?,chênh lệch 15.8%,"Dựa trên thông tin về dữ liệu báo cáo tại 2022, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của đơn vị VTPOST có kết quả là không đạt với con số nhận được là 81.4%, chênh lệch 15.8% khi so sánh với mục tiêu kpi đề ra là 97.2%, chỉ bằng 0.98 lần so với kpi nhận được tại năm 2021",179,oneKPI
19,Có đạt mục tiêu không?,không đạt,"Dựa trên thông tin về dữ liệu báo cáo tại 2022, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của đơn vị VTPOST có kết quả là không đạt với con số nhận được là 81.4%, chênh lệch 15.8% khi so sánh với mục tiêu kpi đề ra là 97.2%, chỉ bằng 0.98 lần so với kpi nhận được tại năm 2021",138,oneKPI
20," Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng di động của tổng công ty VTT tháng 4, 2021 là bao nhiêu?",95.5%,"Trong tháng 4 năm 2021, chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng di động của đơn vị VTT được đánh gía đạt với hiện trạng có kết quả là 95.5%, tăng 8.4% so với mục tiêu kpi là 87.1%. Trong khi t3/2021 đạt 82.2%,",163,oneKPI
21,Mục tiêu KPI là bao nhiêu?,87.1%,"Trong tháng 4 năm 2021, chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng di động của đơn vị VTT được đánh gía đạt với hiện trạng có kết quả là 95.5%, tăng 8.4% so với mục tiêu kpi là 87.1%. Trong khi t3/2021 đạt 82.2%,",203,oneKPI
22,Kết quả tháng 3 là bao nhiêu,82.2%,"Trong tháng 4 năm 2021, chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng di động của đơn vị VTT được đánh gía đạt với hiện trạng có kết quả là 95.5%, tăng 8.4% so với mục tiêu kpi là 87.1%. Trong khi t3/2021 đạt 82.2%,",232,oneKPI
23,KPI này của đơn vị nào?,VTT ,"Trong tháng 4 năm 2021, chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng di động của đơn vị VTT được đánh gía đạt với hiện trạng có kết quả là 95.5%, tăng 8.4% so với mục tiêu kpi là 87.1%. Trong khi t3/2021 đạt 82.2%,",112,oneKPI
24,So sánh kết quả tháng 4 2021 với KPI,tăng 8.4%,"Trong tháng 4 năm 2021, chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng di động của đơn vị VTT được đánh gía đạt với hiện trạng có kết quả là 95.5%, tăng 8.4% so với mục tiêu kpi là 87.1%. Trong khi t3/2021 đạt 82.2%,",170,oneKPI
25,Giao tiền nhanh của đơn vị nào?,tổng công ty VDS,Ta thấy được rằng tổng công ty VDS trong tháng 2 năm 2020 có chỉ tiêu Giao tiền nhanh (trong 2h) đã không đạt có kết quả là 80.7%,18,oneKPI
26,Giao tiền nhanh là trong bao lâu,trong 2h,Ta thấy được rằng tổng công ty VDS trong tháng 2 năm 2020 có chỉ tiêu Giao tiền nhanh (trong 2h) đã không đạt có kết quả là 80.7%,87,oneKPI
27,Tỉ lệ đạt giao tiền nhành tháng 2 2020 là bao nhiêu?,80.7%,Ta thấy được rằng tổng công ty VDS trong tháng 2 năm 2020 có chỉ tiêu Giao tiền nhanh (trong 2h) đã không đạt có kết quả là 80.7%,124,oneKPI
28,Dịch vụ giao tiền dưới 2h được gọi là gì?,Giao tiền nhanh,Ta thấy được rằng tổng công ty VDS trong tháng 2 năm 2020 có chỉ tiêu Giao tiền nhanh (trong 2h) đã không đạt có kết quả là 80.7%,70,oneKPI
29,Kết quả có đạt không?,không đạt,Ta thấy được rằng tổng công ty VDS trong tháng 2 năm 2020 có chỉ tiêu Giao tiền nhanh (trong 2h) đã không đạt có kết quả là 80.7%,100,oneKPI
30,chỉ tiêu Kênh FO do đơn vị nào quản lý?,Tổng công ty VDS,"Tổng công ty VDS có chỉ tiêu Kênh FO ở 2021 có kết quả là đạt khi kpi năm là 95.3% so với mục tiêu kpi đề ra là 87.4%, chỉ đạt được 0.99 lần so với kpi nhận được vào năm 2021",0,oneKPI
31,KPI năm là bao nhiêu?,95.3%,"Tổng công ty VDS có chỉ tiêu Kênh FO ở 2021 có kết quả là đạt khi kpi năm là 95.3% so với mục tiêu kpi đề ra là 87.4%, chỉ đạt được 0.99 lần so với kpi nhận được vào năm 2021",77,oneKPI
32,so với kpi năm thì sao?,chỉ đạt được 0.99 lần,"Tổng công ty VDS có chỉ tiêu Kênh FO ở 2021 có kết quả là đạt khi kpi năm là 95.3% so với mục tiêu kpi đề ra là 87.4%, chỉ đạt được 0.99 lần so với kpi nhận được vào năm 2021",119,oneKPI
33,kết quả có đạt không?,đạt ,"Tổng công ty VDS có chỉ tiêu Kênh FO ở 2021 có kết quả là đạt khi kpi năm là 95.3% so với mục tiêu kpi đề ra là 87.4%, chỉ đạt được 0.99 lần so với kpi nhận được vào năm 2021",58,oneKPI
34,mục tiêu đề ra từ đầu năm 2021 đến hết tháng 7 2021 là bao nhiêu?,87.4%,"Tổng công ty VDS có chỉ tiêu Kênh FO ở 2021 có kết quả là đạt khi kpi năm là 95.3% so với mục tiêu kpi đề ra là 87.4%, chỉ đạt được 0.99 lần so với kpi nhận được vào năm 2021",112,oneKPI
35,Tên chỉ tiêu là gì?,PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,27,oneKPI
36,Chỉ tiêu đánh giá đơn vị nào?, tổng công ty VTS,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,74,oneKPI
37,Kết quả là bao nhiêu?,0.5 phản ánh,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,148,oneKPI
38,Có đạt không?,đạt ,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,130,oneKPI
39,So với tháng trước,Giảm 14.3 phản ánh,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,162,oneKPI
40,So với cùng kỳ năm ngoái thế nào?,giảm 12.0 phản ánh,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,280,oneKPI
41,Số PAKH/1000 thuê bao/ngày năm ngoái là bao nhiêu?,12.5 phản ánh,Ta thấy được rằng chỉ tiêu PAKH/1000 thuê bao/ngày dịch vụ Kênh truyền của tổng công ty VTS trong tháng 12 năm 2021 có kết quả là đạt có kết quả là 0.5 phản ánh. Giảm 14.3 phản ánh so với kpi là tháng trước. Trong khi đó so với cùng kỳ năm ngoái chỉ tiêu có được là 12.5 phản ánh giảm 12.0 phản ánh,266,oneKPI
42,Số tổng đài là gì,18009000 ,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",36,oneKPI
43,Tổng đài này của đơn vị nào?,VDS ,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",56,oneKPI
44,Chỉ tiêu tổng đài 18009000 trong quý 1 năm 2020 là bao nhiêu?,97.9%,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",115,oneKPI
45,KPI Chỉ tiêu tổng đài 18009000 trong quý 1 năm 2020 là bao nhiêu?,93.2%,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",155,oneKPI
46,Chỉ tiêu tổng đài 18009000 trong quý 1 năm 2020 có đạt không?,đạt ,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",93,oneKPI
47,Chỉ tiêu này trong quý 4 2020 có kết quả là bao nhiêu?,89.9%,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",184,oneKPI
48,Chỉ tiêu này trong quý trước đó có kết quả là bao nhiêu?,89.9%,"Ta thấy được rằng chỉ tiêu Tổng đài 18009000 của đơn vị VDS trong quý 1 năm 2020 ghi nhận là đạt với hiện trạng là 97.9%, tăng 4.7% so với mục tiêu kpi là 93.2%. Trong khi q4/2020 đạt 89.9%,",184,oneKPI
49,Viết tắt chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền là gì?,CSAT,Dữ liệu chỉ ra công ty VTS trong q3/2022 có chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) ghi nhận là đạt chỉ tiêu hiện đã gấp 1.02 lần so với mục tiêu kpi ban đầu có giá trị 95.3%. Quý 3 năm 2021 chỉ tiêu có được là 80.7%,90,oneKPI
50,CSAT là gì?,chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền,Dữ liệu chỉ ra công ty VTS trong q3/2022 có chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) ghi nhận là đạt chỉ tiêu hiện đã gấp 1.02 lần so với mục tiêu kpi ban đầu có giá trị 95.3%. Quý 3 năm 2021 chỉ tiêu có được là 80.7%,44,oneKPI
51,"So sánh mức độ hài lòng dịch vụ Kênh truyền trong giai đoạn quý 3, 2022 tính đến tháng 9, 2022 với chỉ tiêu",gấp 1.02 lần,Dữ liệu chỉ ra công ty VTS trong q3/2022 có chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) ghi nhận là đạt chỉ tiêu hiện đã gấp 1.02 lần so với mục tiêu kpi ban đầu có giá trị 95.3%. Quý 3 năm 2021 chỉ tiêu có được là 80.7%,129,oneKPI
52,Giá trị chỉ tiêu là bao nhiêu?,95.3%,Dữ liệu chỉ ra công ty VTS trong q3/2022 có chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) ghi nhận là đạt chỉ tiêu hiện đã gấp 1.02 lần so với mục tiêu kpi ban đầu có giá trị 95.3%. Quý 3 năm 2021 chỉ tiêu có được là 80.7%,181,oneKPI
53,Chỉ tiêu của quý 3 năm 2021 là bao nhiêu?,80.7%,Dữ liệu chỉ ra công ty VTS trong q3/2022 có chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) ghi nhận là đạt chỉ tiêu hiện đã gấp 1.02 lần so với mục tiêu kpi ban đầu có giá trị 95.3%. Quý 3 năm 2021 chỉ tiêu có được là 80.7%,223,oneKPI
54,chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát t5 năm 2020 là bao nhiêu,95.5%,"Hiện tại trong t5/2020, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST được đánh gía không đạt khi kpi là 95.5% so với mục tiêu kpi đề ra là 96.5%. Tuy nhiên trong khi vào tháng 4 năm 2020 đạt 82.7%,. Gấp 1.05 lần so với kpi là tháng 5 năm 2019",128,oneKPI
55,mục tiêu chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát tháng 5 2020 là bao nhiêu?,96.5%.,"Hiện tại trong t5/2020, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST được đánh gía không đạt khi kpi là 95.5% so với mục tiêu kpi đề ra là 96.5%. Tuy nhiên trong khi vào tháng 4 năm 2020 đạt 82.7%,. Gấp 1.05 lần so với kpi là tháng 5 năm 2019",163,oneKPI
56,Tỷ lệ hài lòng của KH dịch vụ chuyển phát tháng 5 năm 2020 có đạt kpi không?,không đạt,"Hiện tại trong t5/2020, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST được đánh gía không đạt khi kpi là 95.5% so với mục tiêu kpi đề ra là 96.5%. Tuy nhiên trong khi vào tháng 4 năm 2020 đạt 82.7%,. Gấp 1.05 lần so với kpi là tháng 5 năm 2019",107,oneKPI
57,Tỷ lệ hài lòng của KH dịch vụ chuyển phát tháng 4 năm 2020 là bao nhiêu?,82.7%,"Hiện tại trong t5/2020, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST được đánh gía không đạt khi kpi là 95.5% so với mục tiêu kpi đề ra là 96.5%. Tuy nhiên trong khi vào tháng 4 năm 2020 đạt 82.7%,. Gấp 1.05 lần so với kpi là tháng 5 năm 2019",215,oneKPI
58,So với KPI tháng 5 năm ngoái thì sao?,Gấp 1.05 lần,"Hiện tại trong t5/2020, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST được đánh gía không đạt khi kpi là 95.5% so với mục tiêu kpi đề ra là 96.5%. Tuy nhiên trong khi vào tháng 4 năm 2020 đạt 82.7%,. Gấp 1.05 lần so với kpi là tháng 5 năm 2019",223,oneKPI
59,chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH đánh giá đơn vị nào?,tổng công ty VTS,Ta nhận xét rằng tổng công ty VTS ở 2022 có chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ có đánh giá đạt chỉ tiêu hiện gấp 1.16 lần so với mục tiêu kpi,17,oneKPI
60,so với mục tiêu KPI gấp bao lần?,gấp 1.16 lần,Ta nhận xét rằng tổng công ty VTS ở 2022 có chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ có đánh giá đạt chỉ tiêu hiện gấp 1.16 lần so với mục tiêu kpi,144,oneKPI
61,Có đạt chỉ tiêu không?,đạt ,Ta nhận xét rằng tổng công ty VTS ở 2022 có chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ có đánh giá đạt chỉ tiêu hiện gấp 1.16 lần so với mục tiêu kpi,126,oneKPI
62,Chỉ tiêu yêu cầu xử lý phản ánh khách hàng trong hạn bao lâu?,24 giờ,Ta nhận xét rằng tổng công ty VTS ở 2022 có chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ có đánh giá đạt chỉ tiêu hiện gấp 1.16 lần so với mục tiêu kpi,107,oneKPI
63,Kết quả này vào năm bao nhiêu?,2022 ,Ta nhận xét rằng tổng công ty VTS ở 2022 có chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ có đánh giá đạt chỉ tiêu hiện gấp 1.16 lần so với mục tiêu kpi,36,oneKPI
64,Dữ liệu cung cấp là vào thời gian nào?,tháng 3 năm 2022,"Điểm dữ liệu này cho ta quan sát trong tháng 3 năm 2022, chỉ tiêu Tổng đài 19009095 của tổng công ty VTS được đánh gía không đạt khi kpi tháng là 95.7% trong khi mục tiêu đề ra là 99.5%. Tháng 3 năm 2021 chỉ tiêu có được là 80.7% gấp 1.19 lần",39,oneKPI
65,KPI tháng 3 năm 2022 là bao nhiêu?,95.7%,"Điểm dữ liệu này cho ta quan sát trong tháng 3 năm 2022, chỉ tiêu Tổng đài 19009095 của tổng công ty VTS được đánh gía không đạt khi kpi tháng là 95.7% trong khi mục tiêu đề ra là 99.5%. Tháng 3 năm 2021 chỉ tiêu có được là 80.7% gấp 1.19 lần",146,oneKPI
66,Mục tiêu KPI là bao nhiêu,99.5%,"Điểm dữ liệu này cho ta quan sát trong tháng 3 năm 2022, chỉ tiêu Tổng đài 19009095 của tổng công ty VTS được đánh gía không đạt khi kpi tháng là 95.7% trong khi mục tiêu đề ra là 99.5%. Tháng 3 năm 2021 chỉ tiêu có được là 80.7% gấp 1.19 lần",180,oneKPI
67,Số tổng đài là bao nhiêu,19009095 ,"Điểm dữ liệu này cho ta quan sát trong tháng 3 năm 2022, chỉ tiêu Tổng đài 19009095 của tổng công ty VTS được đánh gía không đạt khi kpi tháng là 95.7% trong khi mục tiêu đề ra là 99.5%. Tháng 3 năm 2021 chỉ tiêu có được là 80.7% gấp 1.19 lần",75,oneKPI
68,"hiện trạng chỉ 1 chỉ tiêu Tổng đài 19009095 tháng 3, 2022 có đạt chỉ tiêu không?",không đạt,"Điểm dữ liệu này cho ta quan sát trong tháng 3 năm 2022, chỉ tiêu Tổng đài 19009095 của tổng công ty VTS được đánh gía không đạt khi kpi tháng là 95.7% trong khi mục tiêu đề ra là 99.5%. Tháng 3 năm 2021 chỉ tiêu có được là 80.7% gấp 1.19 lần",119,oneKPI
69,Chỉ tiêu KPI là bao nhiêu?,94.9%,"Dựa trên thông tin về dữ liệu báo cáo ta thấy được rằng tại 2020, chỉ tiêu Kênh FO của VDS được đánh gía không đạt chỉ tiêu hiện chỉ đạt được 0.97 lần so với mục tiêu kpi ban đầu là 94.9%. Ngoài ra theo một góc nhìn khác trong khi năm trước đạt 86.9%, đạt được 1.06 lần",182,oneKPI
70,So sánh kết quả với chỉ tiêu,chỉ đạt được 0.97 lần,"Dựa trên thông tin về dữ liệu báo cáo ta thấy được rằng tại 2020, chỉ tiêu Kênh FO của VDS được đánh gía không đạt chỉ tiêu hiện chỉ đạt được 0.97 lần so với mục tiêu kpi ban đầu là 94.9%. Ngoài ra theo một góc nhìn khác trong khi năm trước đạt 86.9%, đạt được 1.06 lần",129,oneKPI
71,Kết quả năm trước là bao nhiêu?,86.9%,"Dựa trên thông tin về dữ liệu báo cáo ta thấy được rằng tại 2020, chỉ tiêu Kênh FO của VDS được đánh gía không đạt chỉ tiêu hiện chỉ đạt được 0.97 lần so với mục tiêu kpi ban đầu là 94.9%. Ngoài ra theo một góc nhìn khác trong khi năm trước đạt 86.9%, đạt được 1.06 lần",245,oneKPI
